ts_utc,ssid,bssid_hash,auth,encryption,signal_percent,rssi_dbm_est,radio_type,band,channel,connected_stations,channel_utilization_pct,medium_available_capacity
2026-01-15T05:11:37.155733+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,81,-59.5,802.11n,2.4 GHz,11,6,5,31250
2026-01-15T05:12:37.304727+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,81,-59.5,802.11n,2.4 GHz,11,6,6,31250
2026-01-15T05:13:37.456937+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,81,-59.5,802.11n,2.4 GHz,11,6,6,31250
2026-01-15T05:14:37.600090+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,81,-59.5,802.11n,2.4 GHz,11,6,6,31250
2026-01-15T05:15:37.778802+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,83,-58.5,802.11n,2.4 GHz,11,6,7,31250
2026-01-15T05:16:37.964440+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,85,-57.5,802.11n,2.4 GHz,11,6,5,31250
2026-01-15T05:17:38.100658+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,85,-57.5,802.11n,2.4 GHz,11,6,5,31250
2026-01-15T05:18:38.204617+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,85,-57.5,802.11n,2.4 GHz,11,6,5,31250
2026-01-15T05:19:38.342076+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,85,-57.5,802.11n,2.4 GHz,11,6,6,31250
2026-01-15T05:55:57.953335+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,86,-57.0,802.11n,2.4 GHz,11,6,4,31250
2026-01-15T05:56:58.060108+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,81,-59.5,802.11n,2.4 GHz,11,6,4,31250
2026-01-15T05:57:58.144098+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,80,-60.0,802.11n,2.4 GHz,11,6,5,31250
2026-01-15T05:58:58.300969+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,81,-59.5,802.11n,2.4 GHz,11,6,5,31250
2026-01-15T05:59:58.457134+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,80,-60.0,802.11n,2.4 GHz,11,6,4,31250
2026-01-15T06:00:58.599867+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,80,-60.0,802.11n,2.4 GHz,11,6,5,31250
2026-01-15T06:01:58.715297+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,80,-60.0,802.11n,2.4 GHz,11,6,5,31250
2026-01-15T06:02:58.853115+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,81,-59.5,802.11n,2.4 GHz,11,6,5,31250
2026-01-15T06:03:58.995270+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,81,-59.5,802.11n,2.4 GHz,11,6,4,31250
2026-01-15T06:04:59.171114+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,81,-59.5,802.11n,2.4 GHz,11,6,6,31250
2026-01-15T06:05:59.295761+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,81,-59.5,802.11n,2.4 GHz,11,6,7,31250
